Heartbeat @ Bedok ActiveSG Sport Centre,11_ BEDOK NORTH STREET 1_     Singapore 469662, 6443 5511 ,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bedok%20Sports%20Centre%20Heartbeat%20Bedok/heartbeatbedok01.jpg,Daily 7.00am – 10.00pm
Burghley Tennis Centre,43 Burghley Drive    Singapore 559020, 62831251,Burghley Tennis Centre  is a public tennis centre managed by Sport Singapore.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Burghley%20Tennis%20Centre/Burghley%20Squash%20and%20Tennis%20Centre5.jpg,unknown
Choa Chu Kang ActiveSG Gym,1 Choa Chu Kang Street 53    Singapore 689236, 67671739,Choa Chu Kang ActiveSG Gym_ formerly known as Choa Chu Kang ClubFITT Gym_ is a public gym operated by Sport Singapore. It is located in Choa Chu Kang Sport Centre.  Since 2001_ Choa Chu Kang Sport Centre_ formerly known as Choa Chua Kang Sport and Recreation Centre_ has brought new levels of excitement for the young and young at heart with its integrated facilities. In addition to being home to the S-League powerhouse SAF Warriors_ the stadium plays host to annual inter-school athletics meets.  Situated between 2 MRT stations_ Choa Chu Kang Sport Centre has positioned itself as the location of choice for its sports and recreational activities for residents nearby.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Choa%20Chu%20Kang%20ActiveSG%20Gym/Choa%20Chu%20Kang%20ActiveSG%20Gym4.jpg,Daily: 7.00am - 10.00pm (Including Public Holidays)
Choa Chu Kang Sports Centre,1 Choa Chu Kang St 53    Singapore 689236, 67671735,Since 2001_ Choa Chu Kang Sport Centre_ formerly known as Choa Chua Kang Sport and Recreation Centre_ has brought new levels of excitement for the young and young at heart with its integrated facilities.  In addition to being home to the S-League powerhouse SAF Warriors_ the stadium plays host to annual inter-school athletics meets.     Situated between 2 MRT stations_ Choa Chu Kang Sport Centre has positioned itself as the location of choice for its sports and recreational activities for residents nearby.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Choa%20Chu%20Kang%20Sports%20Centre/Choa%20Chu%20Kang%20Sports%20Centre.jpg,unknown
Choa Chu Kang Sports Hall,1 Choa Chu Kang Street 53    Singapore 689236, 67674576,Choa Chu Kang sport hall is operated by Sport Singapore. It is located in Choa Chu Kang Sport Centre. Since 2001_ Choa Chu Kang Sport Centre_ formerly known as Choa Chua Kang Sport and Recreation Centre_  has brought new levels of excitement for the young and young at heart with its integrated facilities.  In addition to being home to the S-League powerhouse SAF Warriors_ the stadium plays host to  annual inter-school athletics meets.  Situated between 2 MRT stations_ Choa Chu Kang Sport Centre has positioned itself as  the location of choice for its sports and recreational activities for residents nearby.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Choa%20Chu%20Kang%20Sports%20Hall/Choa%20Chu%20Kang%20Sports%20Hall2.jpg,Daily 7.00am - 10.00pm
Choa Chu Kang Stadium,1 Choa Chu Kang Street 53    Singapore 689236, 67674576,Choa Chu Kang Stadium is a public sport stadium operated by Sport Singapore.  It is located in Choa Chu Kang Sport Centre.  Since 2001_ Choa Chu Kang Sport Centre_ formerly known as Choa Chua Kang Sport and Recreation Centre_ has  brought new levels of excitement for the young and young at heart with its integrated facilities.  In addition to being home to the S-League powerhouse SAF Warriors_ the stadium plays host to  annual inter-school athletics meets.  Situated between 2 MRT stations_ Choa Chu Kang Sport Centre has positioned itself as the location of choice  for its sports and recreational activities for residents nearby.  Facility Information: 8 Badminton Courts  4 Table-Tennis Tables,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Choa%20Chu%20Kang%20Stadium/Choa%20Chu%20Kang%20Stadium9.jpg,Daily 4.30am - 9.30pm
Choa Chu Kang Street Soccer Court,1 Choa Chu Kang Street 53    Singapore 689236, 67672721,Choa Chu Kang Street Soccer Court is operated by Sport Singapore. It is located in Choa Chu Kang Sport Centre. Since 2001_ Choa Chu Kang Sport Centre_ formerly known as Choa Chua Kang Sport and Recreation Centre_  has brought new levels of excitement for the young and young at heart with its integrated facilities.  In addition to being home to the S-League powerhouse SAF Warriors_ the stadium plays host to annual inter-school athletics meets.  Situated between 2 MRT stations_ Choa Chu Kang Sport Centre has positioned itself as the location  of choice for its sports and recreational activities for residents nearby.  Facility Information:   1 Street Soccer Court,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Choa%20Chu%20Kang%20Street%20Soccer%20Court/Choa%20Chu%20Kang%20Stadium7.jpg,Daily 7.00am - 10.00pm
Choa Chu Kang Swimming Complex,1 Choa Chu Kang Street 53    Singapore 689236, 67678606,Choa Chu Kang Swimming Complex is a public swimming complex managed by Sport Singapore.  It is located in Choa Chu Kang Sports Centre.  Since 2001_ Choa Chu Kang Sport Centre_ formerly known as Choa Chua Kang Sport and Recreation Centre_ has brought new levels of excitement for the young and young at heart with its integrated facilities. In addition to being home to the S-League powerhouse SAF Warriors_ the stadium plays host to annual inter-school athletics meets.  Situated between 2 MRT stations_ Choa Chu Kang Sport Centre has positioned itself as the location of choice for its sports and recreational activities for residents nearby.  Facility Information:  1 Competition Pool  1 Wave Pool  1 Wading Pool  1 Slide  1 SPA Pool       NOTICE: Choa Chu Kang Swimming Complex is closed for renovation from 1 April 2019 to 31 Mar 2020.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Choa%20Chu%20Kang%20Swimming%20Complex/Choa%20Chu%20Kang%20Swimming%20Complex5.jpg,unknown
Choa Chu Kang Tennis Centre,1 Choa Chu Kang Street 53    Singapore 689236, 67674576,Choa Chu Kang Tennis Centre is a tennis centre managed by Sport Singapore. It is located in Choa Chu Kang Sport Centre. Since 2001_ Choa Chu Kang Sport Centre_ formerly known as Choa Chua Kang Sport and Recreation Centre_ has  brought new levels of excitement for the young and young at heart with its integrated facilities.  In addition to being home to the S-League powerhouse SAF Warriors_ the stadium plays host  to annual inter-school athletics meets.  Situated between 2 MRT stations_ Choa Chu Kang Sport Centre has positioned itself as the location of choice for  its sports and recreational activities for residents nearby.  Facility Information:  4 Courts,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Choa%20Chu%20Kang%20Tennis%20Centre/Choa%20Chu%20Kang%20Tennis%20Centre1.jpg,Daily 7.00am - 10.00pm
Clementi ActiveSG Gym,518 Clementi Avenue 3    Singapore 129907, 68729185,Clementi ActiveSG Gym_ formerly known as Clementi ClubFITT Gym_ is a public gym operated by Sport Singapore. With a busy interchange and train station nearby_ Clementi Sport Centre_ formerly known as Clementi Sport and Recreation Centre_ serves a mature estate with people of different ages_ from kids_ young adults_ to the active seniors. Clementi is the preferred venue for Ministry of Education's basketball championships and is training ground for our Singapore fencing team.  Though it is one of the oldest facility_ Clementi has been able to re-invent itself through bringing amateur boxing to the masses to revive the interest of the working adults.     NOTICE: The gym is closed for maintenance from 21 Jan 2019 to 5 Feb 2019.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Clementi%20ActiveSG%20Gym/Clementi%20ActiveSG%20Gym4.jpg,Daily: 7.00am - 10.00pm (Including Public Holidays)
Clementi Sports Centre,518 Clementi Ave 3    Singapore 129907, 67762560,With a busy interchange and train station nearby_ Clementi Sport Centre_ formerly known as Clementi Sport and Recreation Centre_ serves a mature estate with people of different ages_ from kids_ young adults_ to the active seniors.  Clementi is the preferred venue for Ministry of Education's basketball championships and is training ground for our Singapore fencing team. Though it is one of the oldest facility_ Clementi has been able to re-invent itself through bringing amateur boxing to the masses to revive the interest of the working adults.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Clementi%20Sports%20Centre/Clementi%20Sports%20Centre.jpg,unknown
